,dataset,frr,far,threshold
0,FVC2000_DB1_A.csv,1.4991181657848325,4.904041104623709,0.5
1,FVC2000_DB1_A.csv,4.188712522045854,0.3177088368775842,0.55
2,FVC2000_DB1_A.csv,9.876543209876543,0.014418880159620902,0.6
3,FVC2000_DB1_A.csv,21.384479717813054,0.0007793989275470757,0.65
4,FVC2000_DB1_A.csv,37.948265726043495,0.0003896994637735378,0.7
5,FVC2000_DB1_A.csv,62.624926513815396,0.0003896994637735378,0.75
6,FVC2000_DB1_A.csv,84.87654320987656,0.0003896994637735378,0.8
7,FVC2000_DB1_A.csv,96.35508524397412,0.0,0.85
8,FVC2000_DB1_A.csv,99.47089947089948,0.0,0.9
9,FVC2000_DB1_A.csv,100.0,0.0,0.95
